时光只解催人老，不信多情，长恨离亭，泪滴春衫酒易醒。,/mingju/juv_38049d27ea43.aspx,晏殊《采桑子·时光只解催人老》,/shiwenv_8cc45971b842.aspx
浮云一别后，流水十年间。,/mingju/juv_3f444ec1081f.aspx,韦应物《淮上喜会梁川故人 / 淮上喜会梁州故人》,/shiwenv_43e1c0daacca.aspx
若是前生未有缘，待重结、来生愿。,/mingju/juv_4a894848679b.aspx,乐婉《卜算子·答施》,/shiwenv_80847c0addf5.aspx
昨夜西风凋碧树。独上高楼，望尽天涯路。,/mingju/juv_2f0ea34a03a6.aspx,晏殊《蝶恋花·槛菊愁烟兰泣露》,/shiwenv_902b7c60788a.aspx
疏影横斜水清浅，暗香浮动月黄昏。,/mingju/juv_ad4c8bec0c99.aspx,林逋《山园小梅·其一》,/shiwenv_e1339dc3ff03.aspx
抽刀断水水更流，举杯消愁愁更愁。,/mingju/juv_b9288e0dd753.aspx,李白《宣州谢脁楼饯别校书叔云 / 陪侍御叔华登楼歌》,/shiwenv_731e2a19594e.aspx
取次花丛懒回顾，半缘修道半缘君。,/mingju/juv_e5fa91382cf4.aspx,元稹《离思五首·其四》,/shiwenv_bd4224133394.aspx
怕相思，已相思，轮到相思没处辞，眉间露一丝。,/mingju/juv_0596ce87f7a3.aspx,俞彦《长相思·折花枝》,/shiwenv_71a85f935e90.aspx
溪云初起日沉阁，山雨欲来风满楼。,/mingju/juv_6c1351d9a6b8.aspx,许浑《咸阳城东楼 / 咸阳城西楼晚眺 / 西门》,/shiwenv_65bc4719e0b1.aspx
还君明珠双泪垂，恨不相逢未嫁时。,/mingju/juv_22d0184eed82.aspx,张籍《节妇吟·寄东平李司空师道》,/shiwenv_7bfee4dfbfe0.aspx
似此星辰非昨夜，为谁风露立中宵。,/mingju/juv_378669d9c741.aspx,黄景仁《绮怀》,/shiwenv_3b1108c2df7b.aspx
近水楼台先得月，向阳花木易为春。,/mingju/juv_7a64dc96265e.aspx,苏麟《断句》,/shiwenv_8c0e2aecf46a.aspx
问君能有几多愁？恰似一江春水向东流。,/mingju/juv_5f22f6002499.aspx,李煜《虞美人·春花秋月何时了》,/shiwenv_3574610d74e0.aspx
一骑红尘妃子笑，无人知是荔枝来。,/mingju/juv_a25e9428db6e.aspx,杜牧《过华清宫绝句三首》,/shiwenv_ccf0369362c7.aspx
天涯地角有穷时，只有相思无尽处。,/mingju/juv_fc211cb218dd.aspx,晏殊《玉楼春·春恨》,/shiwenv_2a96e54dae55.aspx
